"hts10","display_code","description","general_rate","general_disposition","column_2_rate","column_2_disposition","memberships","membership_citations","rate_citations","canada_338_warning","rulespec_commit","corpus_release","certificate_sha256","built_at"
"0101210000","0101.21.00.00","Purebred breeding animals","Free","free","Free","free","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0101.21.00 | Column 2 rate: /us/statute/hts/0101.21.00","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0101290000","0101.29.00.00","Other","Free","free","20%","ad_valorem","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0101.29.00 | Column 2 rate: /us/statute/hts/0101.29.00","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0101300000","0101.30.00.00","Asses","6.8%","ad_valorem","15%","ad_valorem","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0101.30.00.00 | Column 2 rate: /us/statute/hts/0101.30.00.00","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0101903000","0101.90.30.00","Imported for immediate slaughter","Free","free","Free","free","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0101.90.30.00 | Column 2 rate: /us/statute/hts/0101.90.30.00","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0101904000","0101.90.40.00","Other","4.5%","ad_valorem","20%","ad_valorem","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0101.90.40.00 | Column 2 rate: /us/statute/hts/0101.90.40.00","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0102210000","0102.21.00.00","Purebred breeding animals","Free","free","Free","free","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0102.21.00 | Column 2 rate: /us/statute/hts/0102.21.00","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0102292000","0102.29.20.00","Cows imported specially for dairy purposes","Free","free","6.6¢/kg","specific","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0102.29.20 | Column 2 rate: /us/statute/hts/0102.29.20","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0102294000","0102.29.40.00","Other","1¢/kg","specific","5.5¢/kg","specific","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0102.29.40 | Column 2 rate: /us/statute/hts/0102.29.40","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0102310000","0102.31.00.00","Purebred breeding animals","Free","free","Free","free","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0102.31.00 | Column 2 rate: /us/statute/hts/0102.31.00","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
"0102390000","0102.39.00.00","Other","1¢/kg","specific","5.5¢/kg","specific","Section 301 China list scope — U.S. note 20(s), page 330","/us/statute/hts/chapter-99/page-330","General rate: /us/statute/hts/0102.39.00 | Column 2 rate: /us/statute/hts/0102.39.00","false","c654250f07c39c35ca7f3e79975368b019d0e4ca","2026-08-09-usitc-hts-2026-rev15-full-schedule","7c9e2239dee92b3c4854e79b0141cc5d36a075fdb0c49eef117a07a5c73e8ea4","2026-09-18T19:49:18.000Z"
